WUR_Report_ID,fid,year,method,area_m2,annual_precip_eff_mm,annual_net_et_mm,pumping_mm,pumping_net_et_factor_annual
61755,1539_1549_1550,2022,NR,1238995.5577194756,206.7902245101627,523.25531550398,0.0,0.0
62470,999,2022,FMT,486539.6996350296,212.2045770547465,593.4303845337364,680.4501919336575,1.1
62560,1254,2022,NR,535213.185549038,217.52393917374863,652.0060839596541,0.0,0.0
62841,1446_1448,2022,VLM,634264.4200204385,213.74190871972942,501.2654843747273,954.8094713881085,1.9
63073,1101,2022,FMT,527843.5443312153,211.2393912461585,650.567230150135,808.3090843529869,1.2
63211,1310,2022,FMT,496627.540133544,205.93998447486004,590.1938491229869,563.0824475114766,1.0
63219,1312_1313,2022,FMT,303341.5811177322,207.7401104218674,585.7469392225095,670.9813209584474,1.1
63735,1360,2022,ECF,487480.6178936727,226.5478585338398,611.0633283764577,1222.9017157150397,2.0
63743,1210_1211,2022,FMT,623286.885820329,218.59560424591947,563.1149245967578,652.2758897211824,1.2
63755,1556_1558,2022,NR,659361.8917279228,241.2710937604828,466.1127361354005,0.0,0.0
63819,1483,2022,NR,406944.8801565224,224.70045149261807,553.0956767018419,0.0,0.0
65207,1451,2022,PWR,514489.87225052726,216.64913398812396,585.7278037694336,1162.9463977254934,2.0
65302,1605_1606,2022,FMT,293032.0695670853,230.34740246374696,553.8805324774168,1025.7389467441483,1.9
65399,1508_1509,2022,NR,1293758.6017626114,288.11455244287475,458.3376637506208,0.0,0.0
65456,1460,2022,FMT,533087.5597067176,212.2045770547465,152.90014962408915,3.0079936603326325,0.0
65648,1557,2022,NR,525051.6805308663,241.2710937604828,268.590858412307,0.0,0.0
65733,1335,2022,ECF,506448.7431986319,205.17541909438208,630.9709419123,847.8141051119107,1.3
66119,1692,2022,FMT,476131.8182009672,231.77223118976002,554.9822544835075,493.4885597181934,0.9
66236,1439,2022,VLM,306897.0254731336,212.2045770547465,485.6974781743173,1733.5606064600797,3.6
66263,1452,2022,PWR,512318.832772656,217.52393917374866,547.9474265532059,516.4390669928961,0.9
67431,1329,2022,NR,394752.3713623936,217.1439847467874,604.3278874069998,0.0,0.0
