dri_field_,area_m2,annual_et_mm,annual_precip_mm,annual_precip_eff_mm,YEAR,eff_factor
178,510743.9755984696,910.5730331715854,248.40000024437904,238.18869389492656,2021,0.9588916814033556
179,497811.5297851915,925.5702325378712,226.8714716089765,217.5451668735849,2021,0.9588916814033556
180,506932.5705403641,843.6942962001375,247.3152815421576,237.14856615470424,2021,0.9588916814033556
181,492581.8195444273,910.9510073939692,247.33300054930692,237.16555676326263,2021,0.9588916814033556
182,492956.7214418823,832.2862586814626,215.5047042730748,206.64566823073812,2021,0.9588916814033556
183,502103.8052519566,891.6569263543951,245.8000005185604,235.69557578618807,2021,0.9588916814033556
184,501052.1056542055,836.2125767784189,225.4878330110263,216.21840733194156,2021,0.9588916814033556
185,480662.1065020965,888.0995498566186,245.8000005185604,235.69557578618807,2021,0.9588916814033556
186,553946.6617420893,793.180231846897,218.59999945759773,209.6137210346685,2021,0.9588916814033556
187,487845.2762520629,704.3062840892678,215.0,206.16171150172144,2021,0.9588916814033556
188,504394.68507990113,959.8119088055732,215.0,206.16171150172144,2021,0.9588916814033556
189,472527.91427818965,803.1847717427524,235.4686124957281,225.78889375374504,2021,0.9588916814033556
190,488285.7640266189,928.7769042995836,215.0,206.16171150172144,2021,0.9588916814033556
191,494729.79928127775,1009.1072193406688,218.9337713203096,209.93377209730667,2021,0.9588916814033556
192,502161.5399950285,811.4605879685611,227.00000056624413,217.66841222152848,2021,0.9588916814033556
193,498293.3339650572,830.9500682840834,232.2401511284934,222.6931490049733,2021,0.9588916814033556
194,493773.6721047994,780.894741753627,227.00000056624413,217.66841222152848,2021,0.9588916814033556
195,499845.7164586631,814.7024468315967,218.78457049108255,209.79070466330205,2021,0.9588916814033556
196,464782.5091527717,849.8112620704494,232.9999994635582,223.42176125259223,2021,0.9588916814033556
197,501481.40175401705,1000.9767956875407,221.0708111970676,211.98296185795945,2021,0.9588916814033556
198,395843.7196661771,863.647114507144,275.3999996483326,264.07876872127315,2021,0.9588916814033556
200,308410.9098078512,297.96573249634474,234.89999970793724,225.2436556815917,2021,0.9588916814033556
201,494183.7908844731,854.6253155841175,234.89999970793724,225.2436556815917,2021,0.9588916814033556
202,381542.06015377096,310.8178229588915,234.89999970793724,225.2436556815917,2021,0.9588916814033556
203,419242.2347388341,328.3904863123992,234.89999970793724,225.2436556815917,2021,0.9588916814033556
204,832664.1575736649,310.56769282660974,234.89999970793724,225.2436556815917,2021,0.9588916814033556
205,339869.11857884383,207.41813900578336,234.20000249147412,224.5724341737197,2021,0.9588916814033556
206,589545.0221860192,152.95757297805497,234.20000249147412,224.5724341737197,2021,0.9588916814033556
207,2144505.9015672244,134.6228417359224,246.32858213391543,236.20242830009343,2021,0.9588916814033556
208,306031.9862893059,250.6823769406031,266.89999970793724,255.92818948649904,2021,0.9588916814033556
209,1078888.3733727862,195.60745401015464,265.7984523693035,254.87192490681105,2021,0.9588916814033556
210,464129.7687050992,725.6012693976181,264.0999993085861,253.2432923956352,2021,0.9588916814033556
211,348316.13944476424,159.66969116014803,264.0999993085861,253.2432923956352,2021,0.9588916814033556
213,590187.6449346853,851.3020951211574,266.1102845161214,255.1709381583877,2021,0.9588916814033556
215,514904.50494420616,825.2529521866685,259.4965149789643,248.82904956648903,2021,0.9588916814033556
216,527187.45067968,869.1273914137652,258.60000041127205,247.9693892052731,2021,0.9588916814033556
217,521554.2672956888,906.6870902607276,258.60000041127205,247.9693892052731,2021,0.9588916814033556
218,517351.5256681388,803.100326080699,254.73941109987007,244.267502229256,2021,0.9588916814033556
219,504821.389072477,860.1460307580032,248.40000024437904,238.18869389492656,2021,0.9588916814033556
220,386200.1407548472,823.2089352332334,248.40000024437904,238.18869389492656,2021,0.9588916814033556
223,518746.05353713816,815.7963493928704,247.1404991368281,236.98096876017848,2021,0.9588916814033556
228,505878.6642081742,928.9607252859096,223.81947310711124,214.61863089849064,2021,0.9588916814033556
229,482381.24447305466,979.5258674423436,220.4999994933605,211.4356152636275,2021,0.9588916814033556
230,520340.3719492869,908.1224440927826,217.6343618736861,208.6877791882044,2021,0.9588916814033556
231,487190.533718758,849.1100799519286,225.71040612535475,216.43183083977556,2021,0.9588916814033556
